Normalized VSF (nVSF) from LOV experiment (see Harmel et al. 2016, Opt. Express)
nVSF = VSF / bp
sample = Formazin(2ntu)
wavelength (nm)	measured backscattering coefficient (bp in m-1) 
405	3.4986
443	2.9095
515	2.1530
658	1.3672
"Angle (deg)"	"nVSF.405"	"nVSF.443"	"nVSF.515"	"nVSF.658"
  1.5	       Inf	       Inf	      Inf	      Inf
  3.0	18.0856287	13.9725757	7.3251021	4.8870013
  4.5	 7.1871276	 6.5392174	4.7384415	3.9491042
  6.0	 4.1566318	 3.9765971	3.1988161	2.9895547
  7.5	 2.6371000	 2.5392881	2.2086284	2.2200165
  9.0	 1.7755898	 1.7287349	1.5396888	1.6082479
 10.5	 1.2733049	 1.2578437	1.1164982	1.1739412
 12.0	 0.9521010	 0.9458703	0.8429607	0.8757748
 13.5	 0.7367723	 0.7308551	0.6548446	0.6739268
 15.0	 0.5791673	 0.5806172	0.5181786	0.5325263
 16.5	 0.4737552	 0.4703502	0.4202116	0.4297325
 18.0	 0.3879992	 0.3874863	0.3410353	0.3522460
 19.5	 0.3184545	 0.3235787	0.2907329	0.2935052
 21.0	 0.2738983	 0.2739248	0.2488677	0.2366883
 22.5	 0.2362306	 0.2341399	0.2130284	0.2092222
 24.0	 0.2033154	 0.2019216	0.1839848	0.1820425
 25.5	 0.1762594	 0.1753725	0.1599020	0.1577977
 27.0	 0.1538146	 0.1524833	0.1401000	0.1375865
 28.5	 0.1348799	 0.1350687	0.1234305	0.1207708
 30.0	 0.1188190	 0.1161779	0.1092622	0.1065354
 31.5	 0.1055614	 0.1042486	0.0975282	0.0949638
 33.0	 0.0942964	 0.0949607	0.0874235	0.0849942
 34.5	 0.0843989	 0.0849566	0.0784663	0.0762921
 36.0	 0.0762176	 0.0767184	0.0712346	0.0692844
 37.5	 0.0691247	 0.0693852	0.0646204	0.0628723
 39.0	 0.0628919	 0.0630518	0.0589426	0.0572552
 40.5	 0.0576411	 0.0574866	0.0540930	0.0525616
 42.0	 0.0529689	 0.0524708	0.0496031	0.0483112
 43.5	 0.0486746	 0.0480868	0.0456332	0.0444660
 45.0	 0.0448859	 0.0442073	0.0421109	0.0409844
 46.5	 0.0415074	 0.0407273	0.0388571	0.0378219
 48.0	 0.0384034	 0.0375674	0.0359103	0.0349431
 49.5	 0.0355659	 0.0347056	0.0332742	0.0323194
 51.0	 0.0329706	 0.0320531	0.0308288	0.0299304
 52.5	 0.0306000	 0.0296927	0.0286264	0.0277470
 54.0	 0.0284298	 0.0275312	0.0265794	0.0257938
 55.5	 0.0264533	 0.0255480	0.0247245	0.0239928
 57.0	 0.0246080	 0.0237546	0.0230573	0.0223547
 58.5	 0.0229383	 0.0221352	0.0215060	0.0208295
 60.0	 0.0214243	 0.0206720	0.0201227	0.0194716
 61.5	 0.0200205	 0.0193180	0.0188501	0.0182399
 63.0	 0.0187694	 0.0180908	0.0176933	0.0171073
 64.5	 0.0176120	 0.0169369	0.0166223	0.0160619
 66.0	 0.0165223	 0.0159126	0.0156366	0.0151165
 67.5	 0.0155665	 0.0149647	0.0147298	0.0142625
 69.0	 0.0146531	 0.0141312	0.0139142	0.0134578
 70.5	 0.0138270	 0.0133390	0.0131714	0.0127592
 72.0	 0.0130951	 0.0126323	0.0125057	0.0121028
 73.5	 0.0124075	 0.0119151	0.0118824	0.0115013
 75.0	 0.0117838	 0.0112934	0.0113133	0.0109538
 76.5	 0.0112120	 0.0107498	0.0107868	0.0104511
 78.0	 0.0106825	 0.0102300	0.0103049	0.0099816
 79.5	 0.0101974	 0.0097618	0.0098692	0.0095765
 81.0	 0.0097535	 0.0093388	0.0094584	0.0091990
 82.5	 0.0093422	 0.0089415	0.0090794	0.0088443
 84.0	 0.0089684	 0.0085823	0.0087447	0.0085215
 85.5	 0.0086204	 0.0082556	0.0084256	0.0082344
 87.0	 0.0083054	 0.0079597	0.0081379	0.0079650
 88.5	 0.0080170	 0.0076924	0.0078851	0.0077167
 90.0	 0.0077523	 0.0074517	0.0076508	0.0074915
 91.5	 0.0075174	 0.0072350	0.0074372	0.0073015
 93.0	 0.0073017	 0.0070302	0.0072483	0.0071242
 94.5	 0.0071083	 0.0068420	0.0070767	0.0069666
 96.0	 0.0069271	 0.0066741	0.0069239	0.0068170
 97.5	 0.0067641	 0.0065248	0.0067801	0.0066763
 99.0	 0.0066160	 0.0063939	0.0066536	0.0065646
100.5	 0.0064873	 0.0062692	0.0065337	0.0064534
102.0	 0.0063599	 0.0061585	0.0064308	0.0063666
103.5	 0.0062557	 0.0060563	0.0063420	0.0062784
105.0	 0.0061540	 0.0059622	0.0062529	0.0062094
106.5	 0.0060625	 0.0058821	0.0061795	0.0061429
108.0	 0.0059816	 0.0058090	0.0061129	0.0060817
109.5	 0.0059051	 0.0057450	0.0060462	0.0060417
111.0	 0.0058380	 0.0056891	0.0059941	0.0059949
112.5	 0.0057805	 0.0056422	0.0059462	0.0059608
114.0	 0.0057262	 0.0055986	0.0059024	0.0059334
115.5	 0.0056785	 0.0055664	0.0058653	0.0059150
117.0	 0.0056339	 0.0055313	0.0058419	0.0058986
118.5	 0.0055963	 0.0055049	0.0058210	0.0058858
120.0	 0.0055607	 0.0054837	0.0058030	0.0058854
121.5	 0.0055360	 0.0054674	0.0057821	0.0058772
123.0	 0.0055083	 0.0054543	0.0057731	0.0058858
124.5	 0.0054912	 0.0054360	0.0057718	0.0058895
126.0	 0.0054725	 0.0054242	0.0057702	0.0059002
127.5	 0.0054581	 0.0054158	0.0057694	0.0059085
129.0	 0.0054399	 0.0054082	0.0057737	0.0059229
130.5	 0.0054176	 0.0054071	0.0057838	0.0059306
132.0	 0.0053969	 0.0054069	0.0057856	0.0059318
133.5	 0.0053639	 0.0054041	0.0057843	0.0059344
135.0	 0.0053371	 0.0053948	0.0057749	0.0059314
136.5	 0.0053044	 0.0053918	0.0057611	0.0059303
138.0	 0.0052692	 0.0053893	0.0057377	0.0059073
139.5	 0.0052300	 0.0053827	0.0057034	0.0058792
141.0	 0.0051952	 0.0053678	0.0056730	0.0058472
142.5	 0.0051917	 0.0053814	0.0056768	0.0058486
144.0	 0.0051873	 0.0053874	0.0056660	0.0058393
145.5	 0.0051951	 0.0054056	0.0056544	0.0058355
147.0	 0.0052215	 0.0054382	0.0056723	0.0058429
148.5	 0.0052442	 0.0054602	0.0056763	0.0058460
150.0	 0.0052938	 0.0055144	0.0057138	0.0058903
151.5	 0.0053680	 0.0055744	0.0057788	0.0059642
153.0	 0.0054386	 0.0056523	0.0058440	0.0060766
154.5	 0.0055197	 0.0057392	0.0059416	0.0061937
156.0	 0.0056119	 0.0058531	0.0060541	0.0063578
157.5	 0.0057150	 0.0059870	0.0061796	0.0065705
159.0	 0.0058449	 0.0061337	0.0063184	0.0067853
160.5	 0.0059846	 0.0063093	0.0064872	0.0070251
162.0	 0.0061427	 0.0065046	0.0067045	0.0072754
163.5	 0.0063376	 0.0067465	0.0069052	0.0075131
165.0	 0.0065859	 0.0069790	0.0071345	0.0077488
166.5	 0.0068882	 0.0072706	0.0073996	0.0079252
168.0	 0.0072729	 0.0076331	0.0077300	0.0081222
169.5	 0.0078382	 0.0082620	0.0082655	0.0085473
171.0	 0.0093538	 0.0095968	0.0095524	0.0096227
172.5	 0.0121574	 0.0121206	0.0121946	0.0124321
174.0	 0.0191589	 0.0180460	0.0187470	0.0187532
